# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-01-24 19:20:43 -05:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14337600 ROGUE RIVER NEAR MCLEOD, OR
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 14337600
#    TS_ID       Parameter Description
#    117566      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	117566_00060	117566_00060_cd
USGS	14337600	2024-01-17 23:20	PST	3480	P
USGS	14337600	2024-01-17 23:25	PST	3480	P
USGS	14337600	2024-01-17 23:30	PST	3490	P
USGS	14337600	2024-01-17 23:35	PST	3480	P
USGS	14337600	2024-01-17 23:40	PST	3490	P
USGS	14337600	2024-01-17 23:45	PST	3490	P
USGS	14337600	2024-01-17 23:50	PST	3480	P
USGS	14337600	2024-01-17 23:55	PST	3480	P
USGS	14337600	2024-01-18 00:00	PST	3480	P
USGS	14337600	2024-01-18 00:05	PST	3480	P
USGS	14337600	2024-01-18 00:10	PST	3450	P
USGS	14337600	2024-01-18 00:15	PST	3460	P
USGS	14337600	2024-01-18 00:20	PST	3480	P
USGS	14337600	2024-01-18 00:25	PST	3450	P
USGS	14337600	2024-01-18 00:30	PST	3450	P
USGS	14337600	2024-01-18 00:35	PST	3480	P
USGS	14337600	2024-01-18 00:40	PST	3480	P
USGS	14337600	2024-01-18 00:45	PST	3460	P
USGS	14337600	2024-01-18 00:50	PST	3460	P
USGS	14337600	2024-01-18 00:55	PST	3450	P
USGS	14337600	2024-01-18 01:00	PST	3460	P
USGS	14337600	2024-01-18 01:05	PST	3460	P
USGS	14337600	2024-01-18 01:10	PST	3460	P
USGS	14337600	2024-01-18 01:15	PST	3460	P
USGS	14337600	2024-01-18 01:20	PST	3460	P
USGS	14337600	2024-01-18 01:25	PST	3450	P
USGS	14337600	2024-01-18 01:30	PST	3480	P
USGS	14337600	2024-01-18 01:35	PST	3460	P
USGS	14337600	2024-01-18 01:40	PST	3480	P
USGS	14337600	2024-01-18 01:45	PST	3480	P
USGS	14337600	2024-01-18 01:50	PST	3460	P
USGS	14337600	2024-01-18 01:55	PST	3480	P
USGS	14337600	2024-01-18 02:00	PST	3480	P
USGS	14337600	2024-01-18 02:05	PST	3480	P
USGS	14337600	2024-01-18 02:10	PST	3480	P
USGS	14337600	2024-01-18 02:15	PST	3460	P
USGS	14337600	2024-01-18 02:20	PST	3480	P
USGS	14337600	2024-01-18 02:25	PST	3480	P
USGS	14337600	2024-01-18 02:30	PST	3480	P
USGS	14337600	2024-01-18 02:35	PST	3460	P
USGS	14337600	2024-01-18 02:40	PST	3460	P
USGS	14337600	2024-01-18 02:45	PST	3480	P
USGS	14337600	2024-01-18 02:50	PST	3480	P
USGS	14337600	2024-01-18 02:55	PST	3460	P
USGS	14337600	2024-01-18 03:00	PST	3450	P
USGS	14337600	2024-01-18 03:05	PST	3450	P
USGS	14337600	2024-01-18 03:10	PST	3460	P
USGS	14337600	2024-01-18 03:15	PST	3450	P
USGS	14337600	2024-01-18 03:20	PST	3450	P
USGS	14337600	2024-01-18 03:25	PST	3430	P
USGS	14337600	2024-01-18 03:30	PST	3450	P
USGS	14337600	2024-01-18 03:35	PST	3450	P
USGS	14337600	2024-01-18 03:40	PST	3430	P
USGS	14337600	2024-01-18 03:45	PST	3450	P
USGS	14337600	2024-01-18 03:50	PST	3450	P
USGS	14337600	2024-01-18 03:55	PST	3450	P
USGS	14337600	2024-01-18 04:00	PST	3450	P
USGS	14337600	2024-01-18 04:05	PST	3460	P
USGS	14337600	2024-01-18 04:10	PST	3460	P
USGS	14337600	2024-01-18 04:15	PST	3450	P
USGS	14337600	2024-01-18 04:20	PST	3450	P
USGS	14337600	2024-01-18 04:25	PST	3460	P
USGS	14337600	2024-01-18 04:30	PST	3480	P
USGS	14337600	2024-01-18 04:35	PST	3450	P
USGS	14337600	2024-01-18 04:40	PST	3480	P
USGS	14337600	2024-01-18 04:45	PST	3450	P
USGS	14337600	2024-01-18 04:50	PST	3410	P
USGS	14337600	2024-01-18 04:55	PST	3450	P
USGS	14337600	2024-01-18 05:00	PST	3450	P
USGS	14337600	2024-01-18 05:05	PST	3430	P
USGS	14337600	2024-01-18 05:10	PST	3430	P
USGS	14337600	2024-01-18 05:15	PST	3450	P
USGS	14337600	2024-01-18 05:20	PST	3450	P
USGS	14337600	2024-01-18 05:25	PST	3450	P
USGS	14337600	2024-01-18 05:30	PST	3430	P
USGS	14337600	2024-01-18 05:35	PST	3450	P
USGS	14337600	2024-01-18 05:40	PST	3450	P
USGS	14337600	2024-01-18 05:45	PST	3450	P
USGS	14337600	2024-01-18 05:50	PST	3450	P
USGS	14337600	2024-01-18 05:55	PST	3450	P
USGS	14337600	2024-01-18 06:00	PST	3450	P
USGS	14337600	2024-01-18 06:05	PST	3430	P
USGS	14337600	2024-01-18 06:10	PST	3430	P
USGS	14337600	2024-01-18 06:15	PST	3430	P
USGS	14337600	2024-01-18 06:20	PST	3450	P
USGS	14337600	2024-01-18 06:25	PST	3430	P
USGS	14337600	2024-01-18 06:30	PST	3430	P
USGS	14337600	2024-01-18 06:35	PST	3450	P
USGS	14337600	2024-01-18 06:40	PST	3430	P
USGS	14337600	2024-01-18 06:45	PST	3410	P
USGS	14337600	2024-01-18 06:50	PST	3430	P
USGS	14337600	2024-01-18 06:55	PST	3450	P
USGS	14337600	2024-01-18 07:00	PST	3410	P
USGS	14337600	2024-01-18 07:05	PST	3410	P
USGS	14337600	2024-01-18 07:10	PST	3450	P
USGS	14337600	2024-01-18 07:15	PST	3430	P
USGS	14337600	2024-01-18 07:20	PST	3450	P
USGS	14337600	2024-01-18 07:25	PST	3430	P
USGS	14337600	2024-01-18 07:30	PST	3430	P
USGS	14337600	2024-01-18 07:35	PST	3410	P
USGS	14337600	2024-01-18 07:40	PST	3410	P
USGS	14337600	2024-01-18 07:45	PST	3410	P
USGS	14337600	2024-01-18 07:50	PST	3410	P
USGS	14337600	2024-01-18 07:55	PST	3410	P
USGS	14337600	2024-01-18 08:00	PST	3400	P
USGS	14337600	2024-01-18 08:05	PST	3400	P
USGS	14337600	2024-01-18 08:10	PST	3400	P
USGS	14337600	2024-01-18 08:15	PST	3400	P
USGS	14337600	2024-01-18 08:20	PST	3400	P
USGS	14337600	2024-01-18 08:25	PST	3380	P
USGS	14337600	2024-01-18 08:30	PST	3380	P
USGS	14337600	2024-01-18 08:35	PST	3400	P
USGS	14337600	2024-01-18 08:40	PST	3400	P
USGS	14337600	2024-01-18 08:45	PST	3400	P
USGS	14337600	2024-01-18 08:50	PST	3400	P
USGS	14337600	2024-01-18 08:55	PST	3400	P
USGS	14337600	2024-01-18 09:00	PST	3410	P
USGS	14337600	2024-01-18 09:05	PST	3400	P
USGS	14337600	2024-01-18 09:10	PST	3400	P
USGS	14337600	2024-01-18 09:15	PST	3400	P
USGS	14337600	2024-01-18 09:20	PST	3410	P
USGS	14337600	2024-01-18 09:25	PST	3410	P
USGS	14337600	2024-01-18 09:30	PST	3400	P
USGS	14337600	2024-01-18 09:35	PST	3400	P
USGS	14337600	2024-01-18 09:40	PST	3400	P
USGS	14337600	2024-01-18 09:45	PST	3410	P
USGS	14337600	2024-01-18 09:50	PST	3380	P
USGS	14337600	2024-01-18 09:55	PST	3400	P
USGS	14337600	2024-01-18 10:00	PST	3380	P
USGS	14337600	2024-01-18 10:05	PST	3400	P
USGS	14337600	2024-01-18 10:10	PST	3410	P
USGS	14337600	2024-01-18 10:15	PST	3410	P
USGS	14337600	2024-01-18 10:20	PST	3400	P
USGS	14337600	2024-01-18 10:25	PST	3400	P
USGS	14337600	2024-01-18 10:30	PST	3410	P
USGS	14337600	2024-01-18 10:35	PST	3460	P
USGS	14337600	2024-01-18 10:40	PST	3480	P
USGS	14337600	2024-01-18 10:45	PST	3490	P
USGS	14337600	2024-01-18 10:50	PST	3510	P
USGS	14337600	2024-01-18 10:55	PST	3520	P
USGS	14337600	2024-01-18 11:00	PST	3520	P
USGS	14337600	2024-01-18 11:05	PST	3520	P
USGS	14337600	2024-01-18 11:10	PST	3540	P
USGS	14337600	2024-01-18 11:15	PST	3550	P
USGS	14337600	2024-01-18 11:20	PST	3540	P
USGS	14337600	2024-01-18 11:25	PST	3540	P
USGS	14337600	2024-01-18 11:30	PST	3540	P
USGS	14337600	2024-01-18 11:35	PST	3540	P
USGS	14337600	2024-01-18 11:40	PST	3550	P
USGS	14337600	2024-01-18 11:45	PST	3540	P
USGS	14337600	2024-01-18 11:50	PST	3550	P
USGS	14337600	2024-01-18 11:55	PST	3540	P
USGS	14337600	2024-01-18 12:00	PST	3550	P
USGS	14337600	2024-01-18 12:05	PST	3540	P
USGS	14337600	2024-01-18 12:10	PST	3550	P
USGS	14337600	2024-01-18 12:15	PST	3540	P
USGS	14337600	2024-01-18 12:20	PST	3540	P
USGS	14337600	2024-01-18 12:25	PST	3550	P
USGS	14337600	2024-01-18 12:30	PST	3570	P
USGS	14337600	2024-01-18 12:35	PST	3620	P
USGS	14337600	2024-01-18 12:40	PST	3620	P
USGS	14337600	2024-01-18 12:45	PST	3650	P
USGS	14337600	2024-01-18 12:50	PST	3670	P
USGS	14337600	2024-01-18 12:55	PST	3680	P
USGS	14337600	2024-01-18 13:00	PST	3680	P
USGS	14337600	2024-01-18 13:05	PST	3700	P
USGS	14337600	2024-01-18 13:10	PST	3710	P
USGS	14337600	2024-01-18 13:15	PST	3700	P
USGS	14337600	2024-01-18 13:20	PST	3710	P
USGS	14337600	2024-01-18 13:25	PST	3700	P
USGS	14337600	2024-01-18 13:30	PST	3700	P
USGS	14337600	2024-01-18 13:35	PST	3700	P
USGS	14337600	2024-01-18 13:40	PST	3700	P
USGS	14337600	2024-01-18 13:45	PST	3700	P
USGS	14337600	2024-01-18 13:50	PST	3710	P
USGS	14337600	2024-01-18 13:55	PST	3700	P
USGS	14337600	2024-01-18 14:00	PST	3700	P
USGS	14337600	2024-01-18 14:05	PST	3700	P
USGS	14337600	2024-01-18 14:10	PST	3700	P
USGS	14337600	2024-01-18 14:15	PST	3680	P
USGS	14337600	2024-01-18 14:20	PST	3700	P
USGS	14337600	2024-01-18 14:25	PST	3680	P
USGS	14337600	2024-01-18 14:30	PST	3750	P
USGS	14337600	2024-01-18 14:35	PST	3750	P
USGS	14337600	2024-01-18 14:40	PST	3810	P
USGS	14337600	2024-01-18 14:45	PST	3800	P
USGS	14337600	2024-01-18 14:50	PST	3830	P
USGS	14337600	2024-01-18 14:55	PST	3840	P
USGS	14337600	2024-01-18 15:00	PST	3830	P
USGS	14337600	2024-01-18 15:05	PST	3840	P
USGS	14337600	2024-01-18 15:10	PST	3830	P
USGS	14337600	2024-01-18 15:15	PST	3840	P
USGS	14337600	2024-01-18 15:20	PST	3860	P
USGS	14337600	2024-01-18 15:25	PST	3860	P
USGS	14337600	2024-01-18 15:30	PST	3840	P
USGS	14337600	2024-01-18 15:35	PST	3860	P
USGS	14337600	2024-01-18 15:40	PST	3880	P
USGS	14337600	2024-01-18 15:45	PST	3880	P
USGS	14337600	2024-01-18 15:50	PST	3860	P
USGS	14337600	2024-01-18 15:55	PST	3860	P
USGS	14337600	2024-01-18 16:00	PST	3880	P
USGS	14337600	2024-01-18 16:05	PST	3860	P
USGS	14337600	2024-01-18 16:10	PST	3860	P
USGS	14337600	2024-01-18 16:15	PST	3860	P
USGS	14337600	2024-01-18 16:20	PST	3840	P
USGS	14337600	2024-01-18 16:25	PST	3860	P
USGS	14337600	2024-01-18 16:30	PST	3860	P
USGS	14337600	2024-01-18 16:35	PST	3860	P
USGS	14337600	2024-01-18 16:40	PST	3860	P
USGS	14337600	2024-01-18 16:45	PST	3840	P
USGS	14337600	2024-01-18 16:50	PST	3860	P
USGS	14337600	2024-01-18 16:55	PST	3860	P
USGS	14337600	2024-01-18 17:00	PST	3860	P
USGS	14337600	2024-01-18 17:05	PST	3840	P
USGS	14337600	2024-01-18 17:10	PST	3840	P
USGS	14337600	2024-01-18 17:15	PST	3860	P
USGS	14337600	2024-01-18 17:20	PST	3860	P
USGS	14337600	2024-01-18 17:25	PST	3860	P
USGS	14337600	2024-01-18 17:30	PST	3840	P
USGS	14337600	2024-01-18 17:35	PST	3830	P
USGS	14337600	2024-01-18 17:40	PST	3830	P
USGS	14337600	2024-01-18 17:45	PST	3860	P
USGS	14337600	2024-01-18 17:50	PST	3880	P
USGS	14337600	2024-01-18 17:55	PST	3840	P
USGS	14337600	2024-01-18 18:00	PST	3840	P
USGS	14337600	2024-01-18 18:05	PST	3830	P
USGS	14337600	2024-01-18 18:10	PST	3830	P
USGS	14337600	2024-01-18 18:15	PST	3840	P
USGS	14337600	2024-01-18 18:20	PST	3860	P
USGS	14337600	2024-01-18 18:25	PST	3880	P
USGS	14337600	2024-01-18 18:30	PST	3860	P
USGS	14337600	2024-01-18 18:35	PST	3860	P
USGS	14337600	2024-01-18 18:40	PST	3840	P
USGS	14337600	2024-01-18 18:45	PST	3840	P
USGS	14337600	2024-01-18 18:50	PST	3830	P
USGS	14337600	2024-01-18 18:55	PST	3840	P
USGS	14337600	2024-01-18 19:00	PST	3830	P
USGS	14337600	2024-01-18 19:05	PST	3830	P
USGS	14337600	2024-01-18 19:10	PST	3840	P
USGS	14337600	2024-01-18 19:15	PST	3840	P
USGS	14337600	2024-01-18 19:20	PST	3860	P
USGS	14337600	2024-01-18 19:25	PST	3860	P
USGS	14337600	2024-01-18 19:30	PST	3880	P
USGS	14337600	2024-01-18 19:35	PST	3880	P
USGS	14337600	2024-01-18 19:40	PST	3890	P
USGS	14337600	2024-01-18 19:45	PST	3860	P
USGS	14337600	2024-01-18 19:50	PST	3840	P
USGS	14337600	2024-01-18 19:55	PST	3880	P
USGS	14337600	2024-01-18 20:00	PST	3860	P
USGS	14337600	2024-01-18 20:05	PST	3880	P
USGS	14337600	2024-01-18 20:10	PST	3880	P
USGS	14337600	2024-01-18 20:15	PST	3880	P
USGS	14337600	2024-01-18 20:20	PST	3880	P
USGS	14337600	2024-01-18 20:25	PST	3860	P
USGS	14337600	2024-01-18 20:30	PST	3860	P
USGS	14337600	2024-01-18 20:35	PST	3880	P
USGS	14337600	2024-01-18 20:40	PST	3880	P
USGS	14337600	2024-01-18 20:45	PST	3860	P
USGS	14337600	2024-01-18 20:50	PST	3890	P
USGS	14337600	2024-01-18 20:55	PST	3880	P
USGS	14337600	2024-01-18 21:00	PST	3860	P
USGS	14337600	2024-01-18 21:05	PST	3860	P
USGS	14337600	2024-01-18 21:10	PST	3840	P
USGS	14337600	2024-01-18 21:15	PST	3890	P
USGS	14337600	2024-01-18 21:20	PST	3860	P
USGS	14337600	2024-01-18 21:25	PST	3880	P
USGS	14337600	2024-01-18 21:30	PST	3880	P
USGS	14337600	2024-01-18 21:35	PST	3880	P
USGS	14337600	2024-01-18 21:40	PST	3860	P
USGS	14337600	2024-01-18 21:45	PST	3840	P
USGS	14337600	2024-01-18 21:50	PST	3860	P
USGS	14337600	2024-01-18 21:55	PST	3860	P
USGS	14337600	2024-01-18 22:00	PST	3840	P
USGS	14337600	2024-01-18 22:05	PST	3860	P
USGS	14337600	2024-01-18 22:10	PST	3860	P
USGS	14337600	2024-01-18 22:15	PST	3840	P
USGS	14337600	2024-01-18 22:20	PST	3860	P
USGS	14337600	2024-01-18 22:25	PST	3860	P
USGS	14337600	2024-01-18 22:30	PST	3840	P
USGS	14337600	2024-01-18 22:35	PST	3840	P
USGS	14337600	2024-01-18 22:40	PST	3860	P
USGS	14337600	2024-01-18 22:45	PST	3860	P
USGS	14337600	2024-01-18 22:50	PST	3860	P
USGS	14337600	2024-01-18 22:55	PST	3840	P
USGS	14337600	2024-01-18 23:00	PST	3860	P
USGS	14337600	2024-01-18 23:05	PST	3840	P
USGS	14337600	2024-01-18 23:10	PST	3830	P
USGS	14337600	2024-01-18 23:15	PST	3860	P
USGS	14337600	2024-01-18 23:20	PST	3860	P
USGS	14337600	2024-01-18 23:25	PST	3840	P
USGS	14337600	2024-01-18 23:30	PST	3880	P
USGS	14337600	2024-01-18 23:35	PST	3860	P
USGS	14337600	2024-01-18 23:40	PST	3860	P
USGS	14337600	2024-01-18 23:45	PST	3860	P
USGS	14337600	2024-01-18 23:50	PST	3840	P
USGS	14337600	2024-01-18 23:55	PST	3840	P
USGS	14337600	2024-01-19 00:00	PST	3840	P
USGS	14337600	2024-01-19 00:05	PST	3840	P
USGS	14337600	2024-01-19 00:10	PST	3860	P
USGS	14337600	2024-01-19 00:15	PST	3840	P
USGS	14337600	2024-01-19 00:20	PST	3860	P
USGS	14337600	2024-01-19 00:25	PST	3840	P
USGS	14337600	2024-01-19 00:30	PST	3840	P
USGS	14337600	2024-01-19 00:35	PST	3830	P
USGS	14337600	2024-01-19 00:40	PST	3830	P
USGS	14337600	2024-01-19 00:45	PST	3840	P
USGS	14337600	2024-01-19 00:50	PST	3840	P
USGS	14337600	2024-01-19 00:55	PST	3840	P
USGS	14337600	2024-01-19 01:00	PST	3840	P
USGS	14337600	2024-01-19 01:05	PST	3860	P
USGS	14337600	2024-01-19 01:10	PST	3860	P
USGS	14337600	2024-01-19 01:15	PST	3840	P
USGS	14337600	2024-01-19 01:20	PST	3840	P
USGS	14337600	2024-01-19 01:25	PST	3890	P
USGS	14337600	2024-01-19 01:30	PST	3860	P
USGS	14337600	2024-01-19 01:35	PST	3860	P
USGS	14337600	2024-01-19 01:40	PST	3840	P
USGS	14337600	2024-01-19 01:45	PST	3860	P
USGS	14337600	2024-01-19 01:50	PST	3860	P
USGS	14337600	2024-01-19 01:55	PST	3840	P
USGS	14337600	2024-01-19 02:00	PST	3840	P
USGS	14337600	2024-01-19 02:05	PST	3840	P
USGS	14337600	2024-01-19 02:10	PST	3860	P
USGS	14337600	2024-01-19 02:15	PST	3880	P
USGS	14337600	2024-01-19 02:20	PST	3840	P
USGS	14337600	2024-01-19 02:25	PST	3860	P
USGS	14337600	2024-01-19 02:30	PST	3860	P
USGS	14337600	2024-01-19 02:35	PST	3840	P
USGS	14337600	2024-01-19 02:40	PST	3860	P
USGS	14337600	2024-01-19 02:45	PST	3860	P
USGS	14337600	2024-01-19 02:50	PST	3860	P
USGS	14337600	2024-01-19 02:55	PST	3880	P
USGS	14337600	2024-01-19 03:00	PST	3860	P
USGS	14337600	2024-01-19 03:05	PST	3860	P
USGS	14337600	2024-01-19 03:10	PST	3830	P
USGS	14337600	2024-01-19 03:15	PST	3860	P
USGS	14337600	2024-01-19 03:20	PST	3830	P
USGS	14337600	2024-01-19 03:25	PST	3860	P
USGS	14337600	2024-01-19 03:30	PST	3830	P
USGS	14337600	2024-01-19 03:35	PST	3860	P
USGS	14337600	2024-01-19 03:40	PST	3840	P
USGS	14337600	2024-01-19 03:45	PST	3840	P
USGS	14337600	2024-01-19 03:50	PST	3880	P
USGS	14337600	2024-01-19 03:55	PST	3860	P
USGS	14337600	2024-01-19 04:00	PST	3880	P
USGS	14337600	2024-01-19 04:05	PST	3880	P
USGS	14337600	2024-01-19 04:10	PST	3860	P
USGS	14337600	2024-01-19 04:15	PST	3830	P
USGS	14337600	2024-01-19 04:20	PST	3830	P
USGS	14337600	2024-01-19 04:25	PST	3840	P
USGS	14337600	2024-01-19 04:30	PST	3840	P
USGS	14337600	2024-01-19 04:35	PST	3860	P
USGS	14337600	2024-01-19 04:40	PST	3840	P
USGS	14337600	2024-01-19 04:45	PST	3840	P
USGS	14337600	2024-01-19 04:50	PST	3840	P
USGS	14337600	2024-01-19 04:55	PST	3860	P
USGS	14337600	2024-01-19 05:00	PST	3840	P
USGS	14337600	2024-01-19 05:05	PST	3860	P
USGS	14337600	2024-01-19 05:10	PST	3860	P
USGS	14337600	2024-01-19 05:15	PST	3840	P
USGS	14337600	2024-01-19 05:20	PST	3840	P
USGS	14337600	2024-01-19 05:25	PST	3840	P
USGS	14337600	2024-01-19 05:30	PST	3840	P
USGS	14337600	2024-01-19 05:35	PST	3840	P
USGS	14337600	2024-01-19 05:40	PST	3860	P
USGS	14337600	2024-01-19 05:45	PST	3840	P
USGS	14337600	2024-01-19 05:50	PST	3830	P
USGS	14337600	2024-01-19 05:55	PST	3860	P
USGS	14337600	2024-01-19 06:00	PST	3860	P
USGS	14337600	2024-01-19 06:05	PST	3880	P
USGS	14337600	2024-01-19 06:10	PST	3840	P
USGS	14337600	2024-01-19 06:15	PST	3840	P
USGS	14337600	2024-01-19 06:20	PST	3860	P
USGS	14337600	2024-01-19 06:25	PST	3860	P
USGS	14337600	2024-01-19 06:30	PST	3840	P
USGS	14337600	2024-01-19 06:35	PST	3840	P
USGS	14337600	2024-01-19 06:40	PST	3840	P
USGS	14337600	2024-01-19 06:45	PST	3830	P
USGS	14337600	2024-01-19 06:50	PST	3860	P
USGS	14337600	2024-01-19 06:55	PST	3840	P
USGS	14337600	2024-01-19 07:00	PST	3810	P
USGS	14337600	2024-01-19 07:05	PST	3830	P
USGS	14337600	2024-01-19 07:10	PST	3860	P
USGS	14337600	2024-01-19 07:15	PST	3830	P
USGS	14337600	2024-01-19 07:20	PST	3830	P
USGS	14337600	2024-01-19 07:25	PST	3860	P
USGS	14337600	2024-01-19 07:30	PST	3860	P
USGS	14337600	2024-01-19 07:35	PST	3840	P
USGS	14337600	2024-01-19 07:40	PST	3830	P
USGS	14337600	2024-01-19 07:45	PST	3840	P
USGS	14337600	2024-01-19 07:50	PST	3860	P
USGS	14337600	2024-01-19 07:55	PST	3840	P
USGS	14337600	2024-01-19 08:00	PST	3830	P
USGS	14337600	2024-01-19 08:05	PST	3810	P
USGS	14337600	2024-01-19 08:10	PST	3810	P
USGS	14337600	2024-01-19 08:15	PST	3810	P
